Date : 2025-01-05 07:32:50
Directory : /home/gobi/Roomapp
Total : 74 files,  5437 codes, 249 comments, 512 blanks, all 6198 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| frontend/Room-app/src/hooks                                                           |          4 |        229 |          9 |         46 |        284 |
| frontend/Room-app/src/lib                                                             |          1 |          5 |          0 |          2 |          7 |
| frontend/Room-app/src/pages                                                           |         13 |      1,862 |         52 |         90 |      2,004 |
| frontend/Room-app/src/pages/Owner                                                     |          5 |      1,056 |         25 |         44 |      1,125 |
| frontend/Room-app/src/pages/Owner/Ownercomponents                                     |          5 |      1,056 |         25 |         44 |      1,125 |
| frontend/Room-app/src/pages/User                                                      |          2 |        480 |          9 |          9 |        498 |
| frontend/Room-app/src/pages/login                                                     |          2 |        119 |          2 |         11 |        132 |
| frontend/Room-app/src/pages/login (Files)                                             |          1 |        101 |          2 |          9 |        112 |
| frontend/Room-app/src/pages/login/logincomponents                                     |          1 |         18 |          0 |          2 |         20 |
| frontend/Room-app/src/pages/singup                                                    |          4 |        207 |         16 |         26 |        249 |
| frontend/Room-app/src/pages/singup (Files)                                            |          1 |         53 |          1 |          5 |         59 |
| frontend/Room-app/src/pages/singup/singupcomponents                                   |          3 |        154 |         15 |         21 |        190 |
| frontend/Room-app/src/store                                                           |          2 |         52 |          3 |          9 |         64 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                              | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/gobi/Roomapp/backend/package.json                                               | JSON               |         39 |          0 |          1 |         40 |
| /home/gobi/Roomapp/backend/src/COnfig/db.ts                                           | TypeScript         |         15 |          1 |          2 |         18 |
| /home/gobi/Roomapp/backend/src/Controllers/jwttokenverify.ts                          | TypeScript         |         22 |          3 |          6 |         31 |
| /home/gobi/Roomapp/backend/src/Routes/global.ts                                       | TypeScript         |        258 |         17 |         22 |        297 |
| /home/gobi/Roomapp/backend/src/Routes/ownerRoutes/createroomroute.ts                  | TypeScript         |          0 |          0 |          1 |          1 |
| /home/gobi/Roomapp/backend/src/index.ts                                               | TypeScript         |         24 |          5 |          8 |         37 |
| /home/gobi/Roomapp/backend/src/models/createroom.ts                                   | TypeScript         |         37 |          1 |          2 |         40 |
| /home/gobi/Roomapp/backend/src/models/loginshema.ts                                   | TypeScript         |         34 |          0 |          2 |         36 |
| /home/gobi/Roomapp/backend/tsconfig.json                                              | JSON with Comments |         18 |          0 |          2 |         20 |
| /home/gobi/Roomapp/frontend/Room-app/README.md                                        | Markdown           |         43 |          0 |         10 |         53 |
| /home/gobi/Roomapp/frontend/Room-app/components.json                                  | JSON               |         21 |          0 |          0 |         21 |
| /home/gobi/Roomapp/frontend/Room-app/eslint.config.js                                 | JavaScript         |         27 |          0 |          2 |         29 |
| /home/gobi/Roomapp/frontend/Room-app/index.html                                       | HTML               |         13 |          0 |          1 |         14 |
| /home/gobi/Roomapp/frontend/Room-app/package.json                                     | JSON               |         78 |          0 |          1 |         79 |
| /home/gobi/Roomapp/frontend/Room-app/postcss.config.js                                | JavaScript         |          6 |          0 |          1 |          7 |
| /home/gobi/Roomapp/frontend/Room-app/public/vite.svg                                  | XML                |          1 |          0 |          0 |          1 |
| /home/gobi/Roomapp/frontend/Room-app/src/App.css                                      | CSS                |          0 |         43 |          1 |         44 |
| /home/gobi/Roomapp/frontend/Room-app/src/App.tsx                                      | TypeScript JSX     |         25 |          1 |          2 |         28 |
| /home/gobi/Roomapp/frontend/Room-app/src/app/login/page.tsx                           | TypeScript JSX     |         30 |          0 |          3 |         33 |
| /home/gobi/Roomapp/frontend/Room-app/src/assets/react.svg                             | XML                |          1 |          0 |          0 |          1 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/Locationcomponent.tsx             | TypeScript JSX     |         80 |          0 |         12 |         92 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/login-form.tsx                    | TypeScript JSX     |          0 |          0 |          1 |          1 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/singup-form.tsx                   | TypeScript JSX     |          0 |          0 |          1 |          1 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/alert-dialog.tsx               | TypeScript JSX     |        126 |          0 |         14 |        140 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/aspect-ratio.tsx               | TypeScript JSX     |          3 |          0 |          3 |          6 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/breadcrumb.tsx                 | TypeScript JSX     |        105 |          0 |         11 |        116 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/button.tsx                     | TypeScript JSX     |         52 |          0 |          6 |         58 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/calendar.tsx                   | TypeScript JSX     |         70 |          0 |          5 |         75 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/card.tsx                       | TypeScript JSX     |         68 |          0 |          9 |         77 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/carousel.tsx                   | TypeScript JSX     |        231 |          0 |         30 |        261 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/collapsible.tsx                | TypeScript JSX     |          5 |          0 |          5 |         10 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/dropdown-menu.tsx              | TypeScript JSX     |        182 |          0 |         18 |        200 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/form.tsx                       | TypeScript JSX     |        152 |          0 |         25 |        177 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/input.tsx                      | TypeScript JSX     |         19 |          0 |          4 |         23 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/label.tsx                      | TypeScript JSX     |         20 |          0 |          5 |         25 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/popover.tsx                    | TypeScript JSX     |         25 |          0 |          7 |         32 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/radio-group.tsx                | TypeScript JSX     |         38 |          0 |          5 |         43 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/resizable.tsx                  | TypeScript JSX     |         38 |          0 |          6 |         44 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/select.tsx                     | TypeScript JSX     |        145 |          0 |         13 |        158 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/separator.tsx                  | TypeScript JSX     |         26 |          0 |          4 |         30 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/sheet.tsx                      | TypeScript JSX     |        125 |          0 |         16 |        141 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/sidebar.tsx                    | TypeScript JSX     |        697 |         12 |         54 |        763 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/skeleton.tsx                   | TypeScript JSX     |         13 |          0 |          3 |         16 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/toast.tsx                      | TypeScript JSX     |        115 |          0 |         13 |        128 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/toaster.tsx                    | TypeScript JSX     |         31 |          0 |          3 |         34 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/tooltip.tsx                    | TypeScript JSX     |         24 |          0 |          7 |         31 |
| /home/gobi/Roomapp/frontend/Room-app/src/hooks/brudcrumbhooks.tsx                     | TypeScript JSX     |         50 |          5 |          7 |         62 |
| /home/gobi/Roomapp/frontend/Room-app/src/hooks/redduxhook.tsx                         | TypeScript JSX     |          4 |          1 |          2 |          7 |
| /home/gobi/Roomapp/frontend/Room-app/src/hooks/use-mobile.tsx                         | TypeScript JSX     |         15 |          0 |          5 |         20 |
| /home/gobi/Roomapp/frontend/Room-app/src/hooks/use-toast.ts                           | TypeScript         |        160 |          3 |         32 |        195 |
| /home/gobi/Roomapp/frontend/Room-app/src/index.css                                    | CSS                |         47 |         96 |          5 |        148 |
| /home/gobi/Roomapp/frontend/Room-app/src/lib/utils.ts                                 | TypeScript         |          5 |          0 |          2 |          7 |
| /home/gobi/Roomapp/frontend/Room-app/src/main.tsx                                     | TypeScript JSX     |         19 |          0 |          2 |         21 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/Owner/Ownercomponents/CreateRoom.tsx   | TypeScript JSX     |        310 |          8 |         11 |        329 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/Owner/Ownercomponents/Editroom.tsx     | TypeScript JSX     |        418 |         12 |         16 |        446 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/Owner/Ownercomponents/Olistroom.tsx    | TypeScript JSX     |        171 |          3 |          4 |        178 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/Owner/Ownercomponents/OwnerHome.tsx    | TypeScript JSX     |         68 |          2 |         10 |         80 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/Owner/Ownercomponents/Sidebar.tsx      | TypeScript JSX     |         89 |          0 |          3 |         92 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/User/UserBookingpage.tsx               | TypeScript JSX     |        273 |          5 |          5 |        283 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/User/Userhome.tsx                      | TypeScript JSX     |        207 |          4 |          4 |        215 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/login/index.tsx                        | TypeScript JSX     |        101 |          2 |          9 |        112 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/login/logincomponents/Cardheader.tsx   | TypeScript JSX     |         18 |          0 |          2 |         20 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/singup/index.tsx                       | TypeScript JSX     |         53 |          1 |          5 |         59 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/singup/singupcomponents/CardFoot.tsx   | TypeScript JSX     |         23 |          0 |          3 |         26 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/singup/singupcomponents/Cardbody.tsx   | TypeScript JSX     |        116 |         15 |         15 |        146 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/singup/singupcomponents/Cardheader.tsx | TypeScript JSX     |         15 |          0 |          3 |         18 |
| /home/gobi/Roomapp/frontend/Room-app/src/store/index.ts                               | TypeScript         |         23 |          2 |          4 |         29 |
| /home/gobi/Roomapp/frontend/Room-app/src/store/slice.ts                               | TypeScript         |         29 |          1 |          5 |         35 |
| /home/gobi/Roomapp/frontend/Room-app/src/vite-env.d.ts                                | TypeScript         |          0 |          1 |          1 |          2 |
| /home/gobi/Roomapp/frontend/Room-app/tailwind.config.js                               | JavaScript         |         66 |          1 |          1 |         68 |
| /home/gobi/Roomapp/frontend/Room-app/tsconfig.app.json                                | JSON               |         28 |          2 |          4 |         34 |
| /home/gobi/Roomapp/frontend/Room-app/tsconfig.json                                    | JSON with Comments |         13 |          0 |          1 |         14 |
| /home/gobi/Roomapp/frontend/Room-app/tsconfig.node.json                               | JSON               |         20 |          2 |          3 |         25 |
| /home/gobi/Roomapp/frontend/Room-app/vite.config.ts                                   | TypeScript         |         14 |          0 |          1 |         15 |
| Total                                                                                 |                    |      5,437 |        249 |        512 |      6,198 |
+---------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
