Date : 2025-01-03 08:46:03
Directory : /home/gobi/Roomapp
Total : 73 files,  17599 codes, 272 comments, 477 blanks, all 18348 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          7 |     13,288 |          4 |         11 |     13,303 |
| TypeScript JSX     |         43 |      3,611 |        107 |        361 |      4,079 |
| TypeScript         |         12 |        465 |         21 |         82 |        568 |
| JavaScript         |          3 |         99 |          1 |          4 |        104 |
| CSS                |          2 |         47 |        139 |          6 |        192 |
| Markdown           |          1 |         43 |          0 |         10 |         53 |
| JSON with Comments |          2 |         31 |          0 |          2 |         33 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                       |         73 |     17,599 |        272 |        477 |     18,348 |
| backend                                                                                 |          9 |      3,049 |         14 |         40 |      3,103 |
| backend (Files)                                                                         |          3 |      2,808 |          0 |          3 |      2,811 |
| backend/src                                                                             |          6 |        241 |         14 |         37 |        292 |
| backend/src (Files)                                                                     |          1 |         23 |          3 |          5 |         31 |
| backend/src/COnfig                                                                      |          1 |         11 |          1 |          3 |         15 |
| backend/src/Routes                                                                      |          2 |        136 |          9 |         25 |        170 |
| backend/src/Routes (Files)                                                              |          1 |        136 |          9 |         24 |        169 |
| backend/src/Routes/ownerRoutes                                                          |          1 |          0 |          0 |          1 |          1 |
| backend/src/models                                                                      |          2 |         71 |          1 |          4 |         76 |
| frontend                                                                                |         64 |     14,550 |        258 |        437 |     15,245 |
| frontend/Room-app                                                                       |         64 |     14,550 |        258 |        437 |     15,245 |
| frontend/Room-app (Files)                                                               |         12 |     10,677 |          5 |         26 |     10,708 |
| frontend/Room-app/public                                                                |          1 |          1 |          0 |          0 |          1 |
| frontend/Room-app/src                                                                   |         51 |      3,872 |        253 |        411 |      4,536 |
| frontend/Room-app/src (Files)                                                           |          5 |         87 |        141 |         11 |        239 |
| frontend/Room-app/src/app                                                               |          1 |         30 |          0 |          3 |         33 |
| frontend/Room-app/src/app/login                                                         |          1 |         30 |          0 |          3 |         33 |
| frontend/Room-app/src/assets                                                            |          1 |          1 |          0 |          0 |          1 |
| frontend/Room-app/src/components                                                        |         25 |      2,233 |         12 |        261 |      2,506 |
| frontend/Room-app/src/components (Files)                                                |          3 |         50 |          0 |          9 |         59 |
| frontend/Room-app/src/components/ui                                                     |         22 |      2,183 |         12 |        252 |      2,447 |
| frontend/Room-app/src/hooks                                                             |          4 |        227 |          9 |         46 |        282 |
| frontend/Room-app/src/lib                                                               |          1 |          5 |          0 |          2 |          7 |
| frontend/Room-app/src/pages                                                             |         12 |      1,241 |         88 |         79 |      1,408 |
| frontend/Room-app/src/pages/Ownerhome                                                   |          6 |        919 |         71 |         46 |      1,036 |
| frontend/Room-app/src/pages/Ownerhome (Files)                                           |          1 |          0 |         51 |          2 |         53 |
| frontend/Room-app/src/pages/Ownerhome/Ownercomponents                                   |          5 |        919 |         20 |         44 |        983 |
| frontend/Room-app/src/pages/login                                                       |          2 |        115 |          1 |          7 |        123 |
| frontend/Room-app/src/pages/login (Files)                                               |          1 |         97 |          1 |          5 |        103 |
| frontend/Room-app/src/pages/login/logincomponents                                       |          1 |         18 |          0 |          2 |         20 |
| frontend/Room-app/src/pages/singup                                                      |          4 |        207 |         16 |         26 |        249 |
| frontend/Room-app/src/pages/singup (Files)                                              |          1 |         53 |          1 |          5 |         59 |
| frontend/Room-app/src/pages/singup/singupcomponents                                     |          3 |        154 |         15 |         21 |        190 |
| frontend/Room-app/src/store                                                             |          2 |         48 |          3 |          9 |         60 |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/gobi/Roomapp/backend/package-lock.json                                            | JSON               |      2,754 |          0 |          1 |      2,755 |
