Date : 2025-01-03 08:46:03
Directory : /home/gobi/Roomapp
Total : 73 files,  17599 codes, 272 comments, 477 blanks, all 18348 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/gobi/Roomapp/backend/package.json                                                 | JSON               |         36 |          0 |          1 |         37 |
| /home/gobi/Roomapp/backend/src/COnfig/db.ts                                             | TypeScript         |         11 |          1 |          3 |         15 |
| /home/gobi/Roomapp/backend/src/Routes/global.ts                                         | TypeScript         |        136 |          9 |         24 |        169 |
| /home/gobi/Roomapp/backend/src/Routes/ownerRoutes/createroomroute.ts                    | TypeScript         |          0 |          0 |          1 |          1 |
| /home/gobi/Roomapp/backend/src/index.ts                                                 | TypeScript         |         23 |          3 |          5 |         31 |
| /home/gobi/Roomapp/backend/src/models/createroom.ts                                     | TypeScript         |         37 |          1 |          2 |         40 |
| /home/gobi/Roomapp/backend/src/models/loginshema.ts                                     | TypeScript         |         34 |          0 |          2 |         36 |
| /home/gobi/Roomapp/backend/tsconfig.json                                                | JSON with Comments |         18 |          0 |          1 |         19 |
| /home/gobi/Roomapp/frontend/Room-app/README.md                                          | Markdown           |         43 |          0 |         10 |         53 |
| /home/gobi/Roomapp/frontend/Room-app/components.json                                    | JSON               |         21 |          0 |          0 |         21 |
| /home/gobi/Roomapp/frontend/Room-app/eslint.config.js                                   | JavaScript         |         27 |          0 |          2 |         29 |
| /home/gobi/Roomapp/frontend/Room-app/index.html                                         | HTML               |         13 |          0 |          1 |         14 |
| /home/gobi/Roomapp/frontend/Room-app/package-lock.json                                  | JSON               |     10,356 |          0 |          1 |     10,357 |
| /home/gobi/Roomapp/frontend/Room-app/package.json                                       | JSON               |         73 |          0 |          1 |         74 |
| /home/gobi/Roomapp/frontend/Room-app/postcss.config.js                                  | JavaScript         |          6 |          0 |          1 |          7 |
| /home/gobi/Roomapp/frontend/Room-app/public/vite.svg                                    | XML                |          1 |          0 |          0 |          1 |
| /home/gobi/Roomapp/frontend/Room-app/src/App.css                                        | CSS                |          0 |         43 |          1 |         44 |
| /home/gobi/Roomapp/frontend/Room-app/src/App.tsx                                        | TypeScript JSX     |         21 |          1 |          2 |         24 |
| /home/gobi/Roomapp/frontend/Room-app/src/app/login/page.tsx                             | TypeScript JSX     |         30 |          0 |          3 |         33 |
| /home/gobi/Roomapp/frontend/Room-app/src/assets/react.svg                               | XML                |          1 |          0 |          0 |          1 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/Locationcomponent.tsx               | TypeScript JSX     |         50 |          0 |          7 |         57 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/login-form.tsx                      | TypeScript JSX     |          0 |          0 |          1 |          1 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/singup-form.tsx                     | TypeScript JSX     |          0 |          0 |          1 |          1 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/aspect-ratio.tsx                 | TypeScript JSX     |          3 |          0 |          3 |          6 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/breadcrumb.tsx                   | TypeScript JSX     |        105 |          0 |         11 |        116 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/button.tsx                       | TypeScript JSX     |         52 |          0 |          6 |         58 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/calendar.tsx                     | TypeScript JSX     |         70 |          0 |          5 |         75 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/card.tsx                         | TypeScript JSX     |         68 |          0 |          9 |         77 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/carousel.tsx                     | TypeScript JSX     |        231 |          0 |         30 |        261 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/collapsible.tsx                  | TypeScript JSX     |          5 |          0 |          5 |         10 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/dropdown-menu.tsx                | TypeScript JSX     |        182 |          0 |         18 |        200 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/form.tsx                         | TypeScript JSX     |        152 |          0 |         25 |        177 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/input.tsx                        | TypeScript JSX     |         19 |          0 |          4 |         23 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/label.tsx                        | TypeScript JSX     |         20 |          0 |          5 |         25 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/popover.tsx                      | TypeScript JSX     |         25 |          0 |          7 |         32 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/radio-group.tsx                  | TypeScript JSX     |         38 |          0 |          5 |         43 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/resizable.tsx                    | TypeScript JSX     |         38 |          0 |          6 |         44 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/select.tsx                       | TypeScript JSX     |        145 |          0 |         13 |        158 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/separator.tsx                    | TypeScript JSX     |         26 |          0 |          4 |         30 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/sheet.tsx                        | TypeScript JSX     |        125 |          0 |         16 |        141 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/sidebar.tsx                      | TypeScript JSX     |        696 |         12 |         54 |        762 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/skeleton.tsx                     | TypeScript JSX     |         13 |          0 |          3 |         16 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/toast.tsx                        | TypeScript JSX     |        115 |          0 |         13 |        128 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/toaster.tsx                      | TypeScript JSX     |         31 |          0 |          3 |         34 |
| /home/gobi/Roomapp/frontend/Room-app/src/components/ui/tooltip.tsx                      | TypeScript JSX     |         24 |          0 |          7 |         31 |
| /home/gobi/Roomapp/frontend/Room-app/src/hooks/brudcrumbhooks.tsx                       | TypeScript JSX     |         48 |          5 |          7 |         60 |
| /home/gobi/Roomapp/frontend/Room-app/src/hooks/redduxhook.tsx                           | TypeScript JSX     |          4 |          1 |          2 |          7 |
| /home/gobi/Roomapp/frontend/Room-app/src/hooks/use-mobile.tsx                           | TypeScript JSX     |         15 |          0 |          5 |         20 |
| /home/gobi/Roomapp/frontend/Room-app/src/hooks/use-toast.ts                             | TypeScript         |        160 |          3 |         32 |        195 |
| /home/gobi/Roomapp/frontend/Room-app/src/index.css                                      | CSS                |         47 |         96 |          5 |        148 |
| /home/gobi/Roomapp/frontend/Room-app/src/lib/utils.ts                                   | TypeScript         |          5 |          0 |          2 |          7 |
| /home/gobi/Roomapp/frontend/Room-app/src/main.tsx                                       | TypeScript JSX     |         19 |          0 |          2 |         21 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/Ownerhome/Ownercomponents/CreateRoom.tsx | TypeScript JSX     |        285 |          6 |         11 |        302 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/Ownerhome/Ownercomponents/Editroom.tsx   | TypeScript JSX     |        394 |         13 |         15 |        422 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/Ownerhome/Ownercomponents/Olistroom.tsx  | TypeScript JSX     |        128 |          1 |          5 |        134 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/Ownerhome/Ownercomponents/OwnerHome.tsx  | TypeScript JSX     |         46 |          0 |         10 |         56 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/Ownerhome/Ownercomponents/Sidebar.tsx    | TypeScript JSX     |         66 |          0 |          3 |         69 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/Ownerhome/index.tsx                      | TypeScript JSX     |          0 |         51 |          2 |         53 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/login/index.tsx                          | TypeScript JSX     |         97 |          1 |          5 |        103 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/login/logincomponents/Cardheader.tsx     | TypeScript JSX     |         18 |          0 |          2 |         20 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/singup/index.tsx                         | TypeScript JSX     |         53 |          1 |          5 |         59 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/singup/singupcomponents/CardFoot.tsx     | TypeScript JSX     |         23 |          0 |          3 |         26 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/singup/singupcomponents/Cardbody.tsx     | TypeScript JSX     |        116 |         15 |         15 |        146 |
| /home/gobi/Roomapp/frontend/Room-app/src/pages/singup/singupcomponents/Cardheader.tsx   | TypeScript JSX     |         15 |          0 |          3 |         18 |
| /home/gobi/Roomapp/frontend/Room-app/src/store/index.ts                                 | TypeScript         |         23 |          2 |          4 |         29 |
| /home/gobi/Roomapp/frontend/Room-app/src/store/slice.ts                                 | TypeScript         |         25 |          1 |          5 |         31 |
| /home/gobi/Roomapp/frontend/Room-app/src/vite-env.d.ts                                  | TypeScript         |          0 |          1 |          1 |          2 |
| /home/gobi/Roomapp/frontend/Room-app/tailwind.config.js                                 | JavaScript         |         66 |          1 |          1 |         68 |
| /home/gobi/Roomapp/frontend/Room-app/tsconfig.app.json                                  | JSON               |         28 |          2 |          4 |         34 |
| /home/gobi/Roomapp/frontend/Room-app/tsconfig.json                                      | JSON with Comments |         13 |          0 |          1 |         14 |
| /home/gobi/Roomapp/frontend/Room-app/tsconfig.node.json                                 | JSON               |         20 |          2 |          3 |         25 |
| /home/gobi/Roomapp/frontend/Room-app/vite.config.ts                                     | TypeScript         |         11 |          0 |          1 |         12 |
| Total                                                                                   |                    |     17,599 |        272 |        477 |     18,348 |
+-----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
